Membership No  Date Joined  Active  
    62961      2016-3-20    no     
    79549      2015-11-23   no     
    11621      2015-2-9     no     
    47204      2020-1-13    no     
    16179      2018-10-1    no     
    60454      2016-8-10    no     
    83765      2020-10-20   no     
    79654      2016-8-16    no     
    70623      2020-3-14    no     
    20316      2015-7-10    no     
    49004      2020-1-3     no     
    58432      2018-8-5     no     
    58413      2015-1-16    no     
